07335600 Elevation,07335600 Capacity
452.6,0.0
452.7,0.0
452.8,0.0
452.9,0.01
453.0,0.01
453.1,0.02
453.2,0.04
453.3,0.06
453.4,0.08
453.5,0.11
453.6,0.15
453.7,0.2
453.8,0.25
453.9,0.32
454.0,0.39
454.1,0.47
454.2,0.57
454.3,0.67
454.4,0.79
454.5,0.93
454.6,1.08
454.7,1.25
454.8,1.45
454.9,1.67
455.0,1.91
455.1,2.18
455.2,2.48
455.3,2.81
455.4,3.18
455.5,3.59
455.6,4.06
455.7,4.57
455.8,5.15
455.9,5.78
456.0,6.48
456.1,7.25
456.2,8.09
456.3,9.02
456.4,10.03
456.5,11.13
456.6,12.34
456.7,13.65
456.8,15.06
456.9,16.58
457.0,18.2
457.1,19.93
457.2,21.76
457.3,23.71
457.4,25.76
457.5,27.95
457.6,30.26
457.7,32.72
457.8,35.34
457.9,38.13
458.0,41.07
458.1,44.19
458.2,47.5
458.3,50.99
458.4,54.68
458.5,58.63
458.6,62.89
458.7,67.46
458.8,72.37
458.9,77.69
459.0,83.44
459.1,89.73
459.2,96.62
459.3,104.12
459.4,112.21
459.5,120.91
459.6,130.14
459.7,139.88
459.8,150.13
459.9,161.02
460.0,172.47
460.1,184.5
460.2,197.18
460.3,210.55
460.4,224.58
460.5,239.3
460.6,254.7
460.7,270.81
460.8,287.74
460.9,305.59
461.0,324.15
461.1,343.29
461.2,362.94
461.3,383.07
461.4,403.69
461.5,424.8
461.6,446.39
461.7,468.4
461.8,490.8
461.9,513.6
462.0,536.79
462.1,560.34
462.2,584.21
462.3,608.41
462.4,632.97
462.5,657.86
462.6,683.1
462.7,708.69
462.8,734.65
462.9,761.0
463.0,787.77
463.1,814.95
463.2,842.55
463.3,870.58
463.4,899.02
463.5,927.85
463.6,957.1
463.7,986.76
463.8,1016.85
463.9,1047.36
464.0,1078.29
464.1,1109.68
464.2,1141.59
464.3,1174.03
464.4,1207.0
464.5,1240.49
464.6,1274.48
464.7,1308.9
464.8,1343.7
464.9,1378.91
465.0,1414.55
465.1,1450.63
465.2,1487.18
465.3,1524.18
465.4,1561.67
465.5,1599.63
465.6,1638.04
465.7,1676.94
465.8,1716.36
465.9,1756.38
466.0,1797.04
466.1,1838.37
466.2,1880.37
466.3,1923.12
466.4,1966.6
466.5,2010.71
466.6,2055.42
466.7,2100.73
466.8,2146.62
466.9,2193.06
467.0,2240.04
467.1,2287.53
467.2,2335.53
467.3,2384.06
467.4,2433.24
467.5,2483.13
467.6,2533.75
467.7,2585.05
467.8,2637.01
467.9,2689.61
468.0,2742.76
468.1,2796.46
468.2,2850.67
468.3,2905.36
468.4,2960.57
468.5,3016.26
468.6,3072.45
468.7,3129.12
468.8,3186.29
468.9,3244.02
469.0,3302.31
469.1,3361.13
469.2,3420.51
469.3,3480.48
469.4,3541.09
469.5,3602.31
469.6,3664.11
469.7,3726.49
469.8,3789.42
469.9,3852.93
470.0,3917.02
470.1,3981.73
470.2,4047.14
470.3,4113.26
470.4,4180.16
470.5,4247.87
470.6,4316.4
470.7,4385.74
470.8,4455.87
470.9,4526.85
471.0,4598.68
471.1,4671.37
471.2,4744.95
471.3,4819.46
471.4,4894.94
471.5,4971.28
471.6,5048.4
471.7,5126.3
471.8,5204.93
471.9,5284.4
472.0,5364.81
472.1,5446.26
472.2,5528.74
472.3,5612.19
472.4,5696.63
472.5,5781.97
472.6,5868.19
472.7,5955.31
472.8,6043.28
472.9,6132.21
473.0,6222.12
473.1,6313.17
473.2,6405.53
473.3,6499.24
473.4,6594.08
473.5,6689.83
473.6,6786.44
473.7,6883.5
473.8,6980.9
473.9,7078.68
474.0,7176.82
474.1,7275.31
474.2,7374.15
474.3,7473.31
474.4,7572.84
474.5,7672.72
474.6,7772.94
474.7,7873.5
474.8,7974.36
474.9,8075.59
475.0,8177.15
475.1,8279.04
475.2,8381.25
475.3,8483.76
475.4,8586.62
475.5,8689.8
475.6,8793.3
475.7,8897.11
475.8,9001.19
475.9,9105.62
476.0,9210.36
476.1,9315.43
476.2,9420.8
476.3,9526.49
476.4,9632.5
476.5,9738.82
476.6,9845.45
476.7,9952.4
476.8,10059.67
476.9,10167.25
477.0,10275.15
477.1,10383.36
477.2,10491.89
477.3,10600.73
477.4,10709.89
477.5,10819.36
477.6,10929.15
477.7,11039.26
477.8,11149.67
477.9,11260.41
478.0,11371.46
478.1,11482.83
478.2,11594.51
478.3,11706.5
478.4,11818.82
478.5,11931.44
478.6,12044.38
478.7,12157.64
478.8,12271.22
478.9,12385.1
479.0,12499.31
479.1,12613.83
479.2,12728.66
479.3,12843.81
479.4,12959.28
479.5,13075.06
479.6,13191.15
